Conrad Hangzhou Tonglu|https://conradhotels3.hilton.com/en/hotels/china/conrad-hangzhou-tonglu-HGHYFCI/index.html|No 2 Yin Zhu, Tianxi Lake Resort|Hangzhou|CN|2019-05-01|https://i.travelapi.com/hotels/34000000/33100000/33093000/33092942/6176ea97_b.jpg|29.98619|119.41495|2675143
Conrad Punta de Mita|https://conradhotels3.hilton.com/en/hotels/nayarit/conrad-punta-de-mita-PVRPMCI/index.html|Carretera Punta de Mita|Higuera Blanca|MX|2020-02-01|https://i.travelapi.com/hotels/41000000/40740000/40733100/40733092/ff8d5a73_b.jpg|20.79129|-105.48649|2559498
Conrad Shenyang|https://conradhotels3.hilton.com/en/hotels/china/conrad-shenyang-SHEYACI/index.html|No. 1-1 Qingnian Avenue, Shenhe District|Shenyang|CN|2019-06-01|https://i.travelapi.com/hotels/35000000/34330000/34323400/34323329/95b6913b_b.jpg|41.80211|123.43318|1940255
Conrad Tianjin|https://conradhotels3.hilton.com/en/hotels/china/conrad-tianjin-TSNTNCI/index.html|46 Tianta Road, Nankai District|Tianjin|CN|2019-08-01|https://i.travelapi.com/hotels/37000000/36270000/36261800/36261749/54d88c5b_b.jpg|39.09261|117.176|2097250
Hotel CoolRooms Atocha|https://coolrooms.com/atocha/en/|Calle de Atocha 34|Madrid|ES|2020-02-01|https://i.travelapi.com/hotels/26000000/25050000/25045600/25045585/5613820f_b.jpg|40.41318|-3.70106|937820
Courtyard by Marriott Aruba Resort|https://www.marriott.com/hotels/travel/auacy-courtyard-aruba-resort/|J.E. Irausquin Blvd. # 330|Noord|AW|2020-01-01|https://i.travelapi.com/hotels/1000000/50000/40900/40884/a38e1dc3_b.jpg|12.56395|-70.04689|204401
Crowne Plaza Christchurch|https://www.ihg.com/crowneplaza/hotels/us/en/christchurch/chccs/hoteldetail|764 Colombo Street|Christchurch|NZ|2017-07-07|https://i.travelapi.com/hotels/19000000/18150000/18147500/18147427/df40d76d_b.jpg|-43.52905|172.63691|688761
Crowne Plaza Muscat|https://www.ihg.com/crowneplaza/hotels/us/en/muscat/msccp/hoteldetail|BLDG 1730, Qurum Street|Muscat|OM|2017-12-01|https://i.travelapi.com/hotels/1000000/520000/519900/519895/63d2723a_b.jpg|23.62902|58.48329|273551
Crowne Plaza Nairobi Airport|https://www.ihg.com/crowneplaza/hotels/us/en/nairobi/nboir/hoteldetail|First Freight Lane|Nairobi|KE|2018-04-01|https://i.travelapi.com/hotels/18000000/17600000/17595200/17595186/b6b57f4f_b.jpg|-1.3406|36.9132|671196
Crowne Plaza Nanchang Wanli|https://www.ihg.com/crowneplaza/hotels/us/en/nanchang/khncp/hoteldetail|No.66 Hongwan Avenue|Nanchang|CN|2018-03-31|https://i.travelapi.com/hotels/22000000/21300000/21290600/21290512/2923c6ea_b.jpg|28.70356|115.75551|787314
Crowne Plaza Riyadh Palace|https://www.ihg.com/crowneplaza/hotels/us/en/riyadh/ruhrp/hoteldetail|Prince Abdul Rahman Bin Abdul Aziz st.|Riyadh|SA|2018-06-01|https://i.travelapi.com/hotels/14000000/13310000/13307800/13307717/c2400f5f_b.jpg|24.66458|46.71094|567682
