#NAME,OPEN_DATE,URL,
"Grand Hotel Villa Torretta Milan Sesto, Curio Collection by Hilton",2018-08-01,https://curiocollection3.hilton.com/en/hotels/italy/grand-hotel-villa-torretta-milan-sesto-curio-collection-by-hilton-MILTOQQ/index.html,
Grand Hyatt Abu Dhabi Hotel And Residences Emirates Pearl,2018-06-01,https://abudhabi.grand.hyatt.com/en/hotel/home.html,
Grand Hyatt Athens,2018-08-01,https://athens.grand.hyatt.com/en/hotel/home.html,
Grand Hyatt Baha Mar,2017-08-01,https://bahamar.grand.hyatt.com/en/hotel/home.html,
Grand Hyatt Bogota,2018-06-01,https://bogota.grand.hyatt.com/en/hotel/home.html,
Grand Hyatt Changsha,2017-07-01,https://changsha.grand.hyatt.com/en/hotel/home.html,
Grand Hyatt Kochi Bolgatty,2018-03-01,https://kochibolgatty.grand.hyatt.com/en/hotel/home.html,
Grand Hyatt Xi An,2018-04-01,https://xian.grand.hyatt.com/en/hotel/home.html,
Great Scotland Yard Hotel,2019-12-01,https://www.hyatt.com/en-US/hotel/england-united-kingdom/great-scotland-yard/lhrub,
Habitas Namibia,2019-04-01,https://ourhabitas.com/hotel/namibia,
"Hagia Sofia Mansions Istanbul, Curio Collection by Hilton",2019-09-01,https://curiocollection3.hilton.com/en/hotels/turkey/hagia-sofia-mansions-istanbul-curio-collection-by-hilton-ISTHSQQ/index.html,
"Harbor Club St. Lucia, Curio Collection by Hilton",2018-09-01,https://curiocollection3.hilton.com/en/hotels/saint-lucia/harbor-club-st-lucia-curio-collection-by-hilton-SLUHCQQ/index.html,
"Hart Shoreditch Hotel London, Curio Collection by Hilton",2019-09-01,https://curiocollection3.hilton.com/en/hotels/united-kingdom/hart-shoreditch-hotel-london-curio-collection-by-hilton-LONSDQQ/index.html,
Healthouse Las Dunas,2018-04-01,https://www.healthouse-naturhouse.com/en/inicio,
Hilton Belgrade,2018-03-01,http://www3.hilton.com/en/hotels/serbia/hilton-belgrade-BEGBSHI/index.html,
Hilton Cairo Heliopolis,2017-11-01,http://www3.hilton.com/en/hotels/egypt/hilton-cairo-heliopolis-CAIHEHI/index.html,
Hilton Dalian Golden Pebble Beach Resort,2018-07-20,http://www3.hilton.com/en/hotels/china/hilton-dalian-golden-pebble-beach-resort-DLCDCHI/index.html,
HILTON GUATEMALA CITY,2018-07-01,https://www3.hilton.com/en/hotels/guatemala/hilton-guatemala-city-GUALLHH/index.html,
Hilton Hangzhou Xiaoshan,2018-06-01,http://www3.hilton.com/en/hotels/china/hilton-hangzhou-xiaoshan-HGHHCHI/index.html,
Hilton Istanbul Bakirkoy,2018-07-20,http://www3.hilton.com/en/hotels/turkey/hilton-istanbul-bakirkoy-ISTIBHI/index.html,
Hilton Mandalay,2018-03-01,http://www3.hilton.com/en/hotels/myanmar/hilton-mandalay-MDLAYHI/index.html,
"HILTON PLAYA DEL CARMEN, AN ALL-INCLUSIVE RESORT",2018-07-01,https://www3.hilton.com/en/hotels/quintana-roo/hilton-playa-del-carmen-an-all-inclusive-resort-CZMPCHH/index.html,
Hilton Port Moresby,2018-07-01,https://www3.hilton.com/en/hotels/papua-new-guinea/hilton-port-moresby-POMSMHI/index.html,
"Hodges Bay Resort & Spa, St. John’s, Antigua",2018-09-01,https://eleganthotels.com/hodges-bay,
Holiday Villages Montenegro,2018-09-01,https://karismaadriatic.com/Hotels-Resorts/Holiday-Villages-Montenegro/,
Honor Resort Yun Shun Dali,2018-07-01,https://www.slh.com/hotels/honor-resort-yun-shu-dali/,
Hoshinoya Bali,2018-02-01,https://www.hoshinoresorts.com/en/resortsandhotels/hoshinoya/bali.html,
HOSHINOYA Guguan,2020-01-01,https://hoshinoya.com/guguan/en/,
Hotel Amapa,2019-06-01,https://www.hotelamapa.com/,
HOTEL ARMANCETTE,2020-01-01,https://www.armancette.com/en,
Hotel Château du Grand-Lucé,2019-08-01,https://chateaugrandluce.com/,
Hotel de la Coupole,2020-01-01,https://www.hoteldelacoupole.com/,
Hotel de la Ville,2019-05-15,https://www.roccofortehotels.com/hotels-and-resorts/hotel-de-la-ville/,
"Hotel de la Ville, a Rocco Forte Hotel",2020-01-01,https://www.roccofortehotels.com/hotels-and-resorts/hotel-de-la-ville/,
Hôtel du Louvre,2019-04-01,https://www.hyatt.com/en-US/hotel/france/hotel-du-louvre/paraz,
Hôtel du Palais Biarritz,2020-06-01,https://www.hyatt.com/en-US/hotel/france/hotel-du-palais-biarritz/biqub,
Hotel Eden,2017-09-01,https://www.dorchestercollection.com/en/rome/hotel-eden/,
Hotel Excelsior,2018-05-20,https://www.adriaticluxuryhotels.com/en/hotel-excelsior-dubrovnik,
Hotel Indigo Bali Seminyak Beach,2017-06-16,https://www.ihg.com/hotelindigo/hotels/us/en/bali/dpsin/hoteldetail,
Hotel Indigo Durham,2018-03-15,https://www.ihg.com/hotelindigo/hotels/us/en/durham/mmedh/hoteldetail,
"Hotel Mari Mari, Natural Reserve Experience",2019-04-01,https://www.hotelmarimari.com/eng/,
Hotel Nikko Bali Benoa Beach,2018-03-01,https://www.okura-nikko.com/indonesia/bali/hotel-nikko-bali-benoa-beach/,
Hotel Pacai,2018-06-01,https://hotelpacai.com/en/,
Hotel Verde Zanzibar,2018-03-01,https://www.hotelverdezanzibar.com/,
Hotel Vic,2018-07-01,https://www.hotelvic.com/,
Hotelito Azul,2017-11-01,http://www.hotelitoazul.mx/,
Hyatt Place Macae,2018-03-01,https://macae.place.hyatt.com/en/hotel/home.html,
